user_id,post_id
user_736,3606
user_19,3615
user_627,3616
user_147,3618
user_98,3623
user_49,3625
user_257,3628
user_2777,3642
user_328,3646
user_2071,3647
user_2556,3651
user_277,3658
user_1991,3665
user_627,3668
user_1991,3671
user_2804,3689
user_627,3693
user_30,3703
user_18,3714
user_18,3722
user_627,3724
user_366,3727
user_179,3730
user_2763,3735
user_98,3744
user_283,3749
user_509,3751
user_2845,3752
user_77,3753
user_2072,3757
user_2252,3759
user_20,3760
user_772,3761
user_147,3762
user_2847,3763
user_278,3765
user_870,3768
user_2556,3769
user_29,3770
user_2849,3774
user_2071,3776
user_2028,3778
user_879,3781
user_2252,3784
user_189,3785
user_19,3786
user_49,3788
user_2487,3810
user_278,3813
user_2882,3815
user_639,3828
user_917,3830
user_2898,3834
user_2921,3871
user_627,3876
user_18,3883
user_24,3885
user_49,3886
user_18,3889
user_539,3891
user_81,3892
user_236,3893
user_2588,3894
user_236,3895
user_19,3903
user_349,3904
user_170,3905
user_601,3925
user_147,3928
user_2071,3932
user_2126,3934
user_2963,3936
user_736,3938
user_2966,3939
user_49,3940
user_49,3942
user_2113,3943
user_1989,3948
user_736,3949
user_236,3952
user_81,3953
user_736,3954
user_2071,3956
user_97,3958
user_662,3959
user_18,3961
user_1948,3964
user_845,3965
user_501,3976
user_349,3977
user_29,3980
user_7,3995
user_1971,4007
user_3014,4028
user_147,4029
user_107,4032
user_90,4034
user_246,4037
user_366,4038
user_447,4047
user_295,4067
user_288,4077
user_107,4080
user_147,4087
user_81,4088
user_2963,4099
user_224,4101
user_107,4103
user_49,4105
user_97,4107
user_858,4114
user_3018,4131
user_3057,4134
user_295,4135
user_224,4140
user_98,4144
user_2072,4147
user_3054,4148
user_90,4156
user_627,4157
user_75,4158
user_539,4179
user_19,4180
user_19,4190
user_566,4197
user_179,4199
user_2624,4201
user_278,4205
user_278,4208
user_3097,4211
user_1985,4218
user_90,4221
user_328,4222
user_90,4226
user_2148,4227
user_627,4229
user_288,4238
user_207,4240
user_566,4241
user_75,4247
user_627,4248
user_224,4250
user_18,4261
user_3144,4288
user_49,4290
user_1989,4292
user_3152,4300
user_3039,4301
user_207,4312
user_662,4318
user_2375,4319
